epoch,lr_backbone,lr_head,train_loss,train_loss_pose,train_mpjpe_body,train_pelvis_err,train_mpjpe_weighted,val_loss,val_loss_pose,val_mpjpe_body,val_pelvis_err,val_mpjpe_weighted,epoch_time
1,3.3333333333333333e-06,3.3333333333333335e-05,0.21045520313277585,0.12998933518249978,309.1233899416691,483.27260795916993,366.59263188744444,0.07369770585762649,0.07369770585762649,191.14760781024708,289.24787128388664,223.52069475654787,3308.3988511562347
2,6.666666666666667e-06,6.666666666666667e-05,0.14910312116315955,0.08117508266812416,207.45600256216233,393.01044682025,268.6889691673312,0.07008530057975697,0.07008530057975697,184.61691697400212,248.30378547134674,205.6335835781256,3331.879535675049
3,1e-05,0.0001,0.13379231619072382,0.07217675873784418,188.48947837882739,353.6149146748616,242.98087235651923,0.0665951504004699,0.0665951504004699,175.34463328878036,236.4675935485251,195.51521017449593,3322.007675886154
4,1e-05,0.0001,0.12501884899217167,0.06737550212149382,178.05961372129067,327.8444884712746,227.48862238878576,0.06207522853256278,0.06207522853256278,165.85503547585628,238.23249578073316,189.7395973764655,3310.0611431598663
5,9.91486549841951e-06,9.91486549841951e-05,0.11614591453019164,0.06251019197194692,167.71585625134517,304.1820368896639,212.74969586199063,0.06492549430610403,0.06492549430610403,171.9181318938804,242.50289703939734,195.21110439190056,3314.0573592185974
6,9.66236114702178e-06,9.662361147021779e-05,0.109816476285099,0.05756587036156896,157.02281818063747,293.1842372621291,201.95608647752985,0.05687611468981129,0.05687611468981129,153.658236932697,269.1586244028641,191.77336479785225,3325.48819065094
7,9.251085678648072e-06,9.251085678648072e-05,0.1011305376344689,0.05226298174251666,145.4879124009058,274.882710757023,188.18819585842425,0.05225966072026798,0.05225966072026798,144.43568738838445,271.4331069182429,186.34483583323745,3326.4420256614685
8,8.695044586103297e-06,8.695044586103296e-05,0.09485203378313022,0.048529962496507616,137.19340217981707,261.6109783856306,178.2512023277359,0.04977576970263183,0.04977576970263183,138.75913593766197,226.58942925484246,167.74313273233147,3323.4528760910034
9,8.013173181896283e-06,8.013173181896283e-05,0.09137469484099789,0.04614683854534628,132.08260902081057,255.76162261189805,172.89668350586933,0.04824455370913081,0.04824455370913081,135.36984013648316,272.82322918807927,180.7294585235099,3320.486606359482
10,7.2286917788826926e-06,7.228691778882693e-05,0.08713811301072426,0.04424150535710595,127.76248674350423,243.32710441507214,165.89881057512193,0.04755309980533415,0.04755309980533415,132.98267410057446,267.0623914582882,177.22898082862,3319.238248348236
11,6.368314950360416e-06,6.368314950360415e-05,0.08370378913099513,0.04238529078204697,123.6819990664211,234.66212740723583,160.3054414188898,0.045880999796955306,0.045880999796955306,129.38178552275545,223.57990726429534,160.46716569746343,3313.7696051597595
12,5.46134179731651e-06,5.4613417973165106e-05,0.07978179480024084,0.04126452734343533,121.10407793408636,221.1218364080196,154.10993823048426,0.04578192625194788,0.04578192625194788,129.16237892086457,296.9507128182884,184.53252910701462,3313.5333280563354
13,4.53865820268349e-06,4.5386582026834906e-05,0.07714179709336666,0.04047882362570262,119.40619519301953,211.54383280429755,149.8116156047415,0.045349458997577106,0.045349458997577106,128.13652680492515,266.15474549996406,173.68253897428815,3335.416405439377
