epoch,lr_backbone,lr_head,train_loss,train_loss_pose,train_mpjpe_body,train_pelvis_err,train_mpjpe_weighted,val_loss,val_loss_pose,val_mpjpe_body,val_pelvis_err,val_mpjpe_weighted,epoch_time
1,3.3333333333333333e-06,3.3333333333333335e-05,0.1755703844370685,0.12165564553902979,291.82920573586676,386.2434686101487,322.9859124843796,0.0791353865765907,0.0791353865765907,202.58974430098033,279.354864748597,227.92223404869372,3140.173258781433
2,6.666666666666667e-06,6.666666666666667e-05,0.1227858065284831,0.08181803512367514,209.09499981948437,293.06673391775814,236.8056720719147,0.07427730718211903,0.07427730718211903,193.0377336324915,326.0712247418264,236.938785698572,3141.593500852585
3,1e-05,0.0001,0.11006593334053875,0.07405515015833056,192.61734232984062,259.6926104598139,214.75218081273172,0.06792074543243079,0.06792074543243079,178.91259064346517,274.30014748107396,210.39048439987627,3135.6824250221252
4,1e-05,0.0001,0.1050210637786556,0.07036649662248691,184.61074664820742,246.3381708639192,204.98079663939225,0.06451050953128441,0.06451050953128441,171.55917728364253,295.0698890455957,212.31771216508704,3359.4303708076477
