epoch,lr_backbone,lr_head,train_loss,train_loss_pose,train_mpjpe_body,train_pelvis_err,train_mpjpe_weighted,val_loss,val_loss_pose,val_mpjpe_body,val_pelvis_err,val_mpjpe_weighted,epoch_time
1,3.3333333333333335e-05,3.3333333333333335e-05,0.18727737414621717,0.13195504770485036,313.00881774399835,376.6852736759971,334.0220482015581,0.0738010912441589,0.0738010912441589,191.06117574325947,265.6012758363142,215.6594087739676,3911.127466917038
2,6.666666666666667e-05,6.666666666666667e-05,0.1262649574032156,0.085675231767954,216.83728175196487,285.8206830208931,239.60180417071157,0.06870617804907271,0.06870617804907271,181.72484683415283,233.56929822077365,198.83351579173757,3916.6233763694763
3,0.0001,0.0001,0.10425419807481268,0.07288688653165816,190.1123647466349,226.65361021016503,202.17097574960002,0.06336272888973049,0.06336272888973049,169.8588336535041,209.6663736658591,182.9953218575813,3921.6061673164368
4,0.0001,0.0001,0.08470745686444019,0.060694427220616784,164.20241681437767,184.66473747432195,170.9549826321591,0.05781350480179124,0.05781350480179124,155.09309643514194,198.02716051568743,169.2613375817219,3922.4108328819275
5,9.91486549841951e-05,9.91486549841951e-05,0.069733273006735,0.051001636232376246,143.35260829237006,152.73846389403292,146.44994064091887,0.054990409066804,0.054990409066804,150.7907745490172,200.25190172552055,167.1129465172634,3921.7876064777374
