epoch,lr_backbone,lr_head,train_loss,train_loss_pose,train_mpjpe_body,train_pelvis_err,train_mpjpe_weighted,val_loss,val_loss_pose,val_mpjpe_body,val_pelvis_err,val_mpjpe_weighted,epoch_time
1,3.3333333333333335e-05,3.3333333333333335e-05,0.3747169757338549,0.3014285515538494,448.6330667294,458.80939049264765,451.99125357127116,0.07894594036716748,0.07894594036716748,203.66933095124432,284.6472688957923,230.3920504729452,3119.6084842681885
2,6.666666666666667e-05,6.666666666666667e-05,0.23473779184294322,0.17971973450520584,284.42627219839744,362.59751006906134,310.222780695716,0.07418340372215997,0.07418340372215997,192.83297317191978,265.53151729109777,216.8234927312483,3123.8176505565643
3,0.0001,0.0001,0.19861723647285973,0.1545329085062243,254.04625381556698,301.9632934319059,269.85887688895866,0.0778901031458766,0.0778901031458766,198.1998226961842,276.3751607556682,223.99768425581408,3128.490877389908
4,0.0001,0.0001,0.1559266143203008,0.12236009758529669,203.74926422486357,234.89634185172545,214.0277998417284,0.07062833923824015,0.07062833923824015,185.3068020663014,218.59703037735923,196.29257740895065,3129.321251153946
5,9.91486549841951e-05,9.91486549841951e-05,0.12978243363043263,0.10396997659379278,177.6949019863909,196.8454942660969,184.0145974386937,0.054268590298192566,0.054268590298192566,149.1272267110385,210.62991199562433,169.4231128549519,3136.4277350902557
6,9.662361147021779e-05,9.662361147021779e-05,0.1236330835742049,0.10013140847716549,176.7318952969919,179.95523623804112,177.795597807538,0.049389718729548775,0.049389718729548775,138.3466568637383,199.79292252728104,158.62392453270732,3359.3276059627533
7,9.251085678648072e-05,9.251085678648072e-05,0.08825662704992703,0.07307167217711091,133.84788373061718,126.67685446035567,131.48144407143107,0.047362948309481866,0.047362948309481866,134.4254264417402,179.44346532373004,149.28137927279687,3360.5655405521393
