epoch,lr_backbone,lr_head,train_loss,train_mpjpe_body,val_loss,val_mpjpe_all,val_mpjpe_body,val_mpjpe_hand,epoch_time
1,3.3333333333333333e-06,3.3333333333333335e-05,1.4538508216540018,3844.0624104817707,1.8221923559904099,4966.064265950521,5071.496250406901,5051.213439941406,1235.4728837013245
2,6.666666666666667e-06,6.666666666666667e-05,1.0848678171634674,2776.2631795247394,1.4271267086267472,3893.684033203125,3826.9498596191406,3883.8044596354166,541.2868237495422
3,1e-05,0.0001,0.9052098552385967,2204.7203002929687,1.2818519487977027,3497.4009724934895,3427.9423360188803,3495.1812306722004,211.94808411598206
