epoch,lr_backbone,lr_head,train_loss,train_loss_pose,train_mpjpe_body,train_pelvis_err,train_mpjpe_weighted,val_loss,val_loss_pose,val_mpjpe_body,val_pelvis_err,val_mpjpe_weighted,epoch_time
1,3.3333333333333333e-06,3.3333333333333335e-05,0.17322540779593928,0.11679499951663691,280.79781962437596,403.90775497175605,321.4240982890117,0.07716869390979679,0.07716869390979679,198.9897608739763,279.12925679490996,225.43579452788435,3272.9968020915985
2,6.666666666666667e-06,6.666666666666667e-05,0.1256206113800284,0.0843215076968857,214.4750241647422,294.34463425600654,240.83199549485977,0.07397695924902495,0.07397695924902495,189.67010521975013,279.37700584512856,219.2733824261251,3280.0097303390503
3,1e-05,0.0001,0.10865665261856056,0.07368251992987636,191.79582972463132,247.5457186007364,210.19329305374566,0.06858351795885834,0.06858351795885834,181.4492146638104,233.67377801165793,198.68332056860015,3285.6315066814423
4,1e-05,0.0001,0.09567014362953222,0.06697888260658894,177.416681469657,205.5349103795946,186.69569700993614,0.060745918087490504,0.060745918087490504,163.15513431378815,228.16313228216046,184.607773643351,3282.073409795761
5,9.91486549841951e-06,9.91486549841951e-05,0.08314130052291871,0.05958662475232198,161.66149965640184,174.0797641988492,165.75952695540977,0.0575696130511233,0.0575696130511233,155.79915028515714,209.4906077620779,173.51733125254108,3280.943111181259
6,9.66236114702178e-06,9.662361147021779e-05,0.07417295292076466,0.05401943124915656,149.48470482273598,156.16686744279238,151.68981848735447,0.05571678961965337,0.05571678961965337,152.41563142654547,199.85202620429212,168.069641703202,3284.2798223495483
7,9.251085678648072e-06,9.251085678648072e-05,0.06680155656830732,0.04948932591040086,139.58115515488473,138.24680908908567,139.1408209531713,0.05249496599248149,0.05249496599248149,144.3653956598482,182.6011215918602,156.98318521741226,3284.4512372016907
8,8.695044586103297e-06,8.695044586103296e-05,0.060005472446871454,0.04543386882806859,130.68198862009368,123.27172211471277,128.23660067331798,0.04994989112491379,0.04994989112491379,138.90713679057123,180.00481547780146,152.4693707573571,3281.923056125641
9,8.013173181896283e-06,8.013173181896283e-05,0.0560315295468787,0.04279693633912484,124.79988382253713,115.44146011236576,121.71160399818072,0.04863062483652869,0.04863062483652869,135.30462253970893,184.33854300035355,151.48581629172162,3278.998825073242
10,7.2286917788826926e-06,7.228691778882693e-05,0.052485358898372796,0.04047124759023366,119.64507263260903,107.65954923478768,115.68984991132811,0.04795445506522753,0.04795445506522753,133.98758351011932,174.34448903662448,147.30536233386604,3280.676521062851
11,6.368314950360416e-06,6.368314950360415e-05,0.04931105890484117,0.03881177472032045,115.83320235964466,97.80750591140371,109.88472253172513,0.047987045185467446,0.047987045185467446,133.96969621978133,173.52851855251555,147.0241075895836,3282.3624601364136
12,5.46134179731651e-06,5.4613417973165106e-05,0.0472441536844475,0.037413187020654694,112.66870714638186,93.69820857032936,106.40844261628423,0.04735518991610145,0.04735518991610145,133.32139723608663,179.17359594269166,148.45262280926627,3282.386741399765
13,4.53865820268349e-06,4.5386582026834906e-05,0.04531204080335357,0.03612958795513115,109.72652574941431,89.00238465205864,102.88755918728707,0.04608947710461007,0.04608947710461007,129.98419873245663,180.22866702798768,146.56487326998194,3284.620035171509
14,3.6316850496395863e-06,3.631685049639586e-05,0.043999568443035236,0.035380706972571736,108.01720140492183,84.57812348644215,100.28230569182357,0.045353848512977614,0.045353848512977614,128.36630280774236,177.50049593135157,144.5805865385334,3290.2455599308014
15,2.771308221117309e-06,2.771308221117309e-05,0.04268012629223821,0.034611816036717244,106.20317119914871,81.50202719632246,98.05179367821601,0.04574950258567732,0.04574950258567732,129.64291172924894,166.74143244302746,141.8854235647958,3290.677886724472
16,1.9868268181037186e-06,1.9868268181037185e-05,0.04164921349720195,0.033945496184037714,104.68832509316849,78.8358252744572,96.15700015299356,0.0452340428747767,0.0452340428747767,128.25796682728213,165.1814057956415,140.44270168684085,3292.719352722168
17,1.3049554138967052e-06,1.3049554138967051e-05,0.04088306809793816,0.03350834150346228,103.55747305765568,76.4539794921875,94.61332018105102,0.044721780862744594,0.044721780862744594,126.74471982856998,166.03919629970133,139.7118970640432,3304.69593667984
18,7.489143213519301e-07,7.489143213519301e-06,0.040200400874584895,0.03318958144995931,102.82530303239973,73.76777759815334,93.23631963909848,0.04479694318934035,0.04479694318934035,127.04226088207507,167.61578539628604,140.43152397176462,3293.3687942028046
19,3.3763885297822153e-07,3.376388529782215e-06,0.03981026777191922,0.03300835020743438,102.39760513257346,72.07348963669239,92.39064701893268,0.044735087253674595,0.044735087253674595,126.85633470468555,164.22616211784188,139.18837775102696,3292.80321598053
20,8.513450158049109e-08,8.513450158049108e-07,0.03960588706233801,0.03285840785625126,102.08331961749549,71.86662583354155,92.11181066879072,0.044657996795011014,0.044657996795011014,126.63049610446244,165.62441817353803,139.4984903872574,3289.4028284549713
