epoch,lr_backbone,lr_head,train_loss,train_loss_pose,train_mpjpe_body,train_pelvis_err,train_mpjpe_weighted,val_loss,val_loss_pose,val_mpjpe_body,val_pelvis_err,val_mpjpe_weighted,epoch_time
1,3.3333333333333335e-05,3.3333333333333335e-05,0.3129438937484199,0.25350172417102695,410.86395428919053,398.9855000723609,406.9440643976375,0.07872859521603844,0.07872859521603844,203.52248350357405,326.4231280705322,244.07969621067025,27089.982169389725
2,6.666666666666667e-05,6.666666666666667e-05,0.2034796441682839,0.1573529948514047,265.5050715131802,319.8824610984952,283.4496100763339,0.0814432864705386,0.0814432864705386,209.9776680719723,274.4762020824327,231.2621842954241,26871.858136177063
3,0.0001,0.0001,0.17339845146084978,0.13601454942852279,234.95432129292794,263.93760530400533,244.51880501658363,0.07522355711404391,0.07522355711404391,195.49779084393143,240.4939475617449,210.3465225608097,27165.786622047424
4,0.0001,0.0001,0.13518690454706955,0.10717405500085087,190.25248088679638,210.45171252317712,196.91822732680234,0.06004959398002079,0.06004959398002079,162.23806649496817,258.293113487621,193.9362320025434,27118.343763828278
5,9.91486549841951e-05,9.91486549841951e-05,0.10840647743143109,0.08612008511718124,159.0861676912507,177.99296109837925,165.32540951560298,0.054371781633724206,0.054371781633724206,149.22117141705226,207.16825046240206,168.34370750201757,26827.95991396904
