epoch,lr_backbone,lr_head,train_loss,train_loss_pose,train_mpjpe_body,train_pelvis_err,train_mpjpe_weighted,val_loss,val_loss_pose,val_mpjpe_body,val_pelvis_err,val_mpjpe_weighted,epoch_time
1,3.3333333333333333e-06,3.3333333333333335e-05,0.1750956444073282,0.12197168701770111,292.5047741648968,384.43748918162487,322.8425701204174,0.0756777583096801,0.0756777583096801,195.73335707863507,278.35052619998504,222.99702288868048,3101.8234164714813
2,6.666666666666667e-06,6.666666666666667e-05,0.12269845341601804,0.08275227461710921,210.92097255714035,285.74795879148996,235.61387801447594,0.06933968663620071,0.06933968663620071,181.66481896044982,277.4554701070015,213.27573383881165,3093.1115906238556
3,1e-05,0.0001,0.10920217968263983,0.07369056810932192,191.81576203242972,255.17350525520814,212.7238172959463,0.0694751756353387,0.0694751756353387,183.7215464629943,245.5180454415205,204.1143911259077,3091.7862391471863
4,1e-05,0.0001,0.09888098383483969,0.06849102559130807,180.6977764465448,218.36220650555137,193.1270383660172,0.06408780786928926,0.06408780786928926,170.23504363498296,265.24173235001695,201.58725091094414,3078.271157503128
5,9.91486549841951e-06,9.91486549841951e-05,0.08931285354761175,0.06250828188891801,167.98945844769855,193.9178748393527,176.54583585694436,0.06155890501379535,0.06155890501379535,164.7021402283083,225.93304338903852,184.90833827134924,3078.707905292511
6,9.66236114702178e-06,9.662361147021779e-05,0.08367453289275459,0.05920097314793336,160.73885034291786,181.27761003229722,167.5166410404128,0.059120443637232296,0.059120443637232296,158.7508933570043,227.84762153119317,181.55281365448698,3306.6713848114014
7,9.251085678648072e-06,9.251085678648072e-05,0.07381457364997054,0.05391996076768187,149.27013251296773,152.30827257133421,150.2727187322285,0.05670926845390956,0.05670926845390956,153.11766942648893,185.5798434751025,163.83018686253135,3312.435204267502
8,8.695044586103297e-06,8.695044586103296e-05,0.0677344042352478,0.050625581485399196,142.12027403219656,133.55607381751827,139.2940879613525,0.055740100964094964,0.055740100964094964,151.97413336612348,177.35272997222273,160.34907024613622,3312.5610675811768
9,8.013173181896283e-06,8.013173181896283e-05,0.062104540640527194,0.04694687198562061,133.9349254248186,121.62955967454384,129.87415472722796,0.052887832251600965,0.052887832251600965,144.8598488001254,156.00950849415742,148.53923649915612,3310.487543821335
10,7.2286917788826926e-06,7.228691778882693e-05,0.05788678362932554,0.04435366649178291,128.1779555791235,112.76712302364376,123.09238083581533,0.050902174380175386,0.050902174380175386,140.59881126578668,154.07954560660625,145.04745359825708,3305.5994925498962
11,6.368314950360416e-06,6.368314950360415e-05,0.05340541218554317,0.0417294403994627,122.27926713533988,101.01880017257024,115.26331303762599,0.050320268462583945,0.050320268462583945,139.57796389001126,158.1017791439742,145.69082292381898,3293.3466217517853
12,5.46134179731651e-06,5.4613417973165106e-05,0.05075612888353546,0.03990140469878101,118.28918153836503,96.4638318006867,111.08681612493129,0.04867806157885868,0.04867806157885868,135.99795645425058,143.2534485680059,138.39226885178994,3296.9176647663116
13,4.53865820268349e-06,4.5386582026834906e-05,0.04819205646922763,0.03826113666352911,114.68094625829367,90.39104253903002,106.66527803093666,0.048139111824171896,0.048139111824171896,134.5351683107015,144.470868102604,137.81394924202937,3301.551267147064
14,3.6316850496395863e-06,3.631685049639586e-05,0.046768594783287855,0.03724579063985565,112.31660147359509,88.08502552160513,104.32018140943835,0.04706102840162014,0.04706102840162014,132.05948555167535,145.93327452909242,136.63783591422302,3295.4677152633667
15,2.771308221117309e-06,2.771308221117309e-05,0.04483339736182679,0.03617196140823823,109.80266840658737,81.98317954659538,100.62223708278991,0.046849578457229535,0.046849578457229535,131.54333961772113,141.01911561825594,134.67034569789755,3299.8700556755066
16,1.9868268181037186e-06,1.9868268181037185e-05,0.04352559896092803,0.03534200840509904,107.87821969629617,79.37546048155308,98.47230915543088,0.04668097812412767,0.04668097812412767,131.02182372660343,139.1705129897206,133.71089118343218,3299.855844259262
17,1.3049554138967052e-06,1.3049554138967051e-05,0.04274835856660889,0.034900827561000845,106.7975757229245,77.37195755666838,97.08712172805998,0.04619024546347352,0.04619024546347352,130.0316993151988,140.17260323675177,133.37819760931123,3319.620393037796
18,7.489143213519301e-07,7.489143213519301e-06,0.04191425562310702,0.03434622159405854,105.56586527326124,74.99990862483386,95.47909957928022,0.04606820064157571,0.04606820064157571,129.74177960808802,138.06221799769938,132.48752427665983,3330.887405395508
19,3.3763885297822153e-07,3.376388529782215e-06,0.04162065081765487,0.03426395585268566,105.39585024620476,73.7596112131091,94.95589136528338,0.04611994068961775,0.04611994068961775,129.74596779596675,138.30616026304313,132.57083131010197,3324.0085813999176
20,8.513450158049109e-08,8.513450158049108e-07,0.04117077613748407,0.03395478449705245,104.64141780232387,72.59713757921428,94.06680532869774,0.04606392759429819,0.04606392759429819,129.69352155255177,138.56552933438695,132.6212841205574,3326.245109796524
