idea_id,design_id,epoch,train_mpjpe_body,train_pelvis_err,train_mpjpe_weighted,val_mpjpe_body,val_pelvis_err,val_mpjpe_weighted
idea001,design001,20,99.36714187100237,64.87326319539298,87.9841619080514,125.92060214734049,176.09871121856358,142.47937814084415
idea001,design002,20,98.22743181611557,63.982061685679305,86.92645967307166,130.3628671919911,158.3334076746813,139.593145551279
idea001,design003,20,91.32688153190202,62.85136361451297,81.92996061916354,121.06137862625398,186.82193981580193,142.76236381880483
idea002,design001,20,99.36714187100237,64.87326319539298,87.9841619080514,125.92060214734049,176.09871121856358,142.47937814084415
idea002,design002,20,101.65307111540801,74.87960315097956,92.81782668714673,128.48352368289224,177.06989005563918,144.5170245858986
idea002,design003,20,102.08331961749549,71.86662583354155,92.11181066879072,126.63049610446244,165.62441817353803,139.4984903872574
idea003,design001,20,148.2858058018651,70.00364269403961,122.4526919762826,155.47795506236923,178.12223845137905,162.9505685807422
idea003,design002,20,98.75554910168155,68.32546541070244,88.71362148365844,125.26902903981318,179.69316531090453,143.22899400927352
idea004,design001,20,81.79260929873504,40.00497137556505,68.00268878408899,112.96108169463633,170.4643087904761,131.93714663626366
idea004,design002,20,83.6833695115131,43.48355136844763,70.41742952430153,112.31533034431632,168.08407156775166,130.71901494805
idea004,design003,20,86.00312842138966,47.71548964178509,73.36820762412006,113.92872608124993,167.6545699134523,131.65825454587682
idea004,design004,20,84.0013214024356,43.19751999331396,70.53606693742533,112.84119268033128,171.7512824377191,132.28152230026927
idea004,design005,20,85.2725196171592,46.130720064865024,72.35572576490218,112.53177475785462,170.17863879646697,131.55523989059668
idea004,design006,20,87.25477916096645,49.72096342312678,74.8686199674794,114.13497375838,167.97545732836383,131.90233333647464
idea005,design001,20,99.3340374836067,59.11002787613582,86.06011431314121,123.81822907248797,116.50015438710248,121.40326442631073
idea005,design002,20,98.68149868395602,65.96883743121852,87.8863204705526,125.61799744443813,175.5196202189557,142.08553296002893
idea005,design003,20,99.38898504014405,71.37967139637266,90.14591153769963,127.31503335471895,184.13727697043424,146.06637374790495
idea006,design001,20,110.36245967678967,169.61754087529053,129.91663647229498,128.8976291108908,270.10132237654113,175.49484788855523
idea006,design002,20,102.50977299347794,76.61748642948626,93.96531842736081,126.03052441144881,176.8499510331378,142.80093519660616
idea006,design003,20,105.6815293078335,81.65236312064134,97.75190446605988,126.16368972723102,170.96839780312825,140.94924339227725
idea006,design004,20,101.58935576348912,72.46228330538497,91.9774218523147,127.3963605883038,174.9073047568916,143.0749721639377
idea006,design005,20,112.39978427415863,175.78896986252903,133.31821551832098,128.01044502304316,274.7260326896272,176.4265889530161
idea006,design006,20,111.68423703020324,173.3452568126676,132.03237355841665,124.23558524376809,265.30615498504824,170.78887325839048
idea007,design001,20,104.64141780232387,72.59713757921428,94.06680532869774,129.69352155255177,138.56552933438695,132.6212841205574
idea007,design002,20,106.71070314616324,75.06760012220174,96.26847914825602,132.67589764198146,139.68867221183456,134.99011325003292
idea007,design003,20,107.74708596991164,77.2726320420133,97.69051617370526,132.787035869603,139.235187187701,134.91492580457526
idea008,design001,20,98.98107262213371,55.6412192266753,84.67892100163238,122.59953552908719,103.72348975675098,116.37044042421606
idea008,design002,20,99.31553212867045,56.871630264581796,85.30904451352119,122.44884797891173,111.30463726356608,118.77125844284772
idea008,design003,20,98.34291767605956,52.63986400715379,83.26090996532075,121.02100235187821,93.67566936985287,111.99704246780995
idea008,design004,20,98.64376140833656,53.67990738142133,83.80568957945461,120.8014542794774,94.43137374804304,112.09932770410407
idea009,design001,20,84.82703229820827,43.29355349851757,71.12098429431025,112.99263682440193,168.68411705376013,131.3708253000901
idea009,design002,20,81.23140607354307,42.889398588720496,68.57854360355165,112.3385967811428,166.95297552966957,130.3613417681566
idea009,design003,20,82.11480345433085,38.590766459193844,67.75187124593577,113.06552830363643,171.19049328112632,132.246766746208
idea009,design004,20,83.95125438262572,44.1136113717029,70.80483218902123,113.37651284267301,168.45153501439296,131.55127015934053
idea009,design005,20,82.94383797576111,38.599086272859964,68.31006991380377,113.40657947664525,172.83662149960801,133.01849334422286
idea010,design001,19,82.8788702362621,45.615297129669095,70.5818911110863,112.25050795754133,162.5565491251836,128.85150154286342
idea010,design002,19,85.00454279710553,44.27351564935221,71.56330383834704,115.40100532504128,165.88499932007278,132.06072334340175
idea010,design003,19,83.43710862027459,43.20546787520463,70.1606671744016,112.44563514332144,165.45709026967086,129.93941533501675
idea010,design004,19,84.20275719940398,45.697926988776835,71.49616322989712,111.66847566758767,167.1815141947048,129.98777838153637
idea010,design005,18,90.62615659978286,46.63946763619054,76.1105492417974,122.16552983779815,171.54457642172156,138.46061521049282
idea011,design001,17,85.17843711278044,41.61149603388897,70.80134655674614,110.15005498225784,96.1144084780869,105.51829163588147
idea011,design002,17,86.90553771460486,44.068124294582994,72.76919128599776,111.09122503853534,101.20079620899712,107.82738352478768
idea011,design003,17,87.08974016611148,45.56335014780539,73.38603146007037,111.80935483502249,107.24171289229997,110.30203299392404
idea011,design004,17,84.52847849801796,42.71311932624783,70.72940997133384,110.32281267283477,112.81085428714177,111.1438664055562
idea012,design001,18,93.77306530730796,52.73136570153167,80.22930443740167,115.39386656315968,168.6779023390196,132.9775983691935
idea012,design002,18,82.80218981790573,43.62159021026051,69.87259194738279,112.9066943409072,168.17776119291997,131.14614640207137
idea012,design003,18,93.17248821681326,59.59388995155494,82.09155078927787,118.18410520473061,174.61751909566587,136.80713178873924
idea012,design004,15,88.55164818645959,53.5947355677464,77.0158670222842,116.0427561392974,174.37644430926682,135.2928732353874
idea012,design005,18,101.18015815005263,65.41327631118706,89.37708714322712,120.95185696057733,170.63410906222242,137.34700015412017
idea013,design001,7,119.75778507476672,109.61873861050742,116.41189974156113,131.83113369636857,180.3425015149272,147.8398850764929
idea013,design002,7,125.80550456998317,115.71041917468717,122.47412638953575,133.90235706232713,176.49367889247844,147.95749326627677
idea013,design003,7,117.53049608149658,105.22121655329487,113.46843383718996,130.2361451299688,173.1173322215155,144.38693687017908
idea013,design004,7,118.84727546155565,105.77301164183758,114.5327684010489,129.12536742114906,181.50029475093606,146.4090934399788
idea014,design001,5,166.1350305374851,189.550462112765,173.86212295732733,164.50815314464316,200.0623527223152,176.24103900527504
idea014,design002,6,138.53072892539936,137.62644954630662,138.2323167302987,133.34838739724154,209.70340443002587,158.54554301806027
idea014,design003,6,135.1481152873314,143.4741757267861,137.89571523235145,137.29724880812108,174.5534708163419,149.59180207083404
