epoch,lr_backbone,lr_head,train_loss,train_loss_pose,train_mpjpe_body,train_pelvis_err,train_mpjpe_weighted,val_loss,val_loss_pose,val_mpjpe_body,val_pelvis_err,val_mpjpe_weighted,epoch_time
1,3.3333333333333335e-05,3.3333333333333335e-05,0.17211444592404168,0.1208623646203478,290.2128175683532,366.9651902037531,315.5411005380347,0.07206694231075386,0.07206694231075386,187.6758408770774,265.4613738940047,213.34506677266356,2273.556057691574
2,6.666666666666667e-05,6.666666666666667e-05,0.11514001114127605,0.0795085894426377,204.14387688084145,255.17032028980992,220.98260320580098,0.07043839022921639,0.07043839022921639,186.02036998642944,251.3201924842862,207.56931141072226,2274.149575471878
3,0.0001,0.0001,0.09730131820344412,0.06959356889223056,183.17713370151048,208.83542530622717,191.64436993106696,0.05962822475977269,0.05962822475977269,160.44774533813623,209.23047160987255,176.54604500780923,2282.19651055336
4,0.0001,0.0001,0.07809255727725439,0.05768126804214101,157.68955751579725,165.084575085341,160.12991331374656,0.05379498119390737,0.05379498119390737,147.5654919466725,201.6486246180333,165.41292572822144,2277.145117044449
5,9.91486549841951e-05,9.91486549841951e-05,0.06448893270504255,0.04867124242768248,138.1111136515583,135.99649582247406,137.41328976796046,0.04911050816213732,0.04911050816213732,137.45681121697328,190.06100415550756,154.81619488668971,2281.9794113636017
6,9.662361147021779e-05,9.662361147021779e-05,0.06017826808034958,0.045496155210004496,131.10970530591484,129.83401988140008,130.68872911582497,0.04638750814081173,0.04638750814081173,130.59725182306636,197.46365950277257,152.66316635736933,3277.555017709732
7,9.251085678648072e-05,9.251085678648072e-05,0.05061549527135319,0.0394244551967695,117.63775022094804,107.23058051410696,114.20338421769029,0.04613435729457328,0.04613435729457328,130.76513233806025,180.07062458157972,147.03594477842157,3274.373207807541
8,8.695044586103296e-05,8.695044586103296e-05,0.04547119697649091,0.03650827095988357,111.13318651910822,92.52558752401785,104.99267885072847,0.04383335674329873,0.04383335674329873,124.93250066667471,190.54140742293887,146.58343989624197,3293.080103635788
9,8.013173181896283e-05,8.013173181896283e-05,0.04205546684874584,0.03411745339716968,105.65461210814966,84.42241432064314,98.64798683827259,0.04183463289754059,0.04183463289754059,120.28560561121445,189.2602609765544,143.04724188177659,3323.6007380485535
10,7.228691778882693e-05,7.228691778882693e-05,0.03876456501525063,0.032031739579467665,100.79451799543693,74.91813317335732,92.2553110041505,0.04166197862736746,0.04166197862736746,120.30210928462526,180.70414490694017,140.2347810399891,3319.0481367111206
11,6.368314950360415e-05,6.368314950360415e-05,0.035866839659032826,0.03022451524606813,96.45642114727463,67.52532100979477,86.90915810190636,0.04145438278900556,0.04145438278900556,119.73295303363133,175.4561646464938,138.1216128658759,3295.230694293976
12,5.4613417973165106e-05,5.4613417973165106e-05,0.03399782898724362,0.028959321355927284,93.49296454586056,62.67605984007127,83.32338599295016,0.040417772220094905,0.040417772220094905,117.33533554629336,172.3556878581122,135.49205180919373,3277.168630361557
13,4.5386582026834906e-05,4.5386582026834906e-05,0.03216908893478943,0.027786155798701903,90.63698289423067,57.013938404322424,79.5413782125609,0.04018728026336079,0.04018728026336079,116.77655213359469,174.4941110726001,135.82334658346645,3279.1552255153656
14,3.631685049639586e-05,3.631685049639586e-05,0.03078619876441188,0.026838633020663843,88.32855400969666,53.46890320756754,76.82486924499393,0.03956545675926099,0.03956545675926099,115.10143768715484,172.84021888107097,134.15523548114714,3282.203725337982
15,2.771308221117309e-05,2.771308221117309e-05,0.029623703892502587,0.026016698678350283,86.3405649452137,50.78620490339302,74.60762613141281,0.039476417128639286,0.039476417128639286,114.80869397208257,171.66698309250705,133.57192938182266,3281.8510224819183
16,1.9868268181037185e-05,1.9868268181037185e-05,0.028536106449769522,0.025420907638292287,84.91186379208604,46.48274450139051,72.23025442615655,0.03927130555785716,0.03927130555785716,114.48097734255728,171.80124603105827,133.3966660097623,3279.8319811820984
17,1.3049554138967051e-05,1.3049554138967051e-05,0.027838221289325997,0.02496576901735234,83.7458203746368,43.99293779586976,70.6273691236438,0.03866064713411797,0.03866064713411797,112.9882783832251,167.6836300436924,131.03774443117928,3276.03898024559
18,7.489143213519301e-06,7.489143213519301e-06,0.027275157664171722,0.02458992935192168,82.84416400699241,42.18222301983244,69.42572348122968,0.03872317745742378,0.03872317745742378,113.17313594380967,168.62372225817782,131.4718294275513,3280.1609315872192
19,3.376388529782215e-06,3.376388529782215e-06,0.026835304466704353,0.024326305773033702,82.2099662017339,40.65141267577178,68.49564353816639,0.03872107104561207,0.03872107104561207,113.18905872947775,169.17925543376705,131.66582364189316,3280.7508630752563
20,8.513450158049108e-07,8.513450158049108e-07,0.026594150105421682,0.02416203692472853,81.79260929873504,40.00497137556505,68.00268878408899,0.03863681661216733,0.03863681661216733,112.96108169463633,170.4643087904761,131.93714663626366,3276.845045566559
