epoch,lr_backbone,lr_head,train_loss,train_loss_pose,train_mpjpe_body,train_pelvis_err,train_mpjpe_weighted,val_loss,val_loss_pose,val_mpjpe_body,val_pelvis_err,val_mpjpe_weighted,epoch_time
1,3.3333333333333335e-05,3.3333333333333335e-05,0.19059070577211512,0.13426887022922354,706.6683490504337,382.8186801622909,599.7979583173471,0.13211799716740955,0.13211799716740955,586.2011237978504,286.5829625607112,487.327130589595,3080.575737476349
2,6.666666666666667e-05,6.666666666666667e-05,0.16483956108257844,0.1218621271737321,497.71821113958475,290.72308298875595,429.40981884981113,0.10935314096941808,0.10935314096941808,446.6097294125252,253.47220283020536,382.8743456403594,3092.6427526474
3,0.0001,0.0001,0.12987776515631452,0.09457693179860532,408.4691525943072,244.33082647003502,354.3035049732972,0.093828631371745,0.093828631371745,473.40535937632524,229.11357753095638,392.78907136735364,3089.653995513916
4,0.0001,0.0001,0.09912218784817871,0.07314877138438294,384.59781246173225,191.23919720254116,320.7894694261991,0.0792533803115564,0.0792533803115564,422.71360835868,240.17929817080065,362.47728599667954,3087.068306684494
5,9.91486549841951e-05,9.91486549841951e-05,0.08322785149474096,0.06265531033584217,371.3250301426313,160.7563709333926,301.83737260358254,0.07670572068906233,0.07670572068906233,385.0636631835643,194.21811549482356,322.0846324462796,3084.476578950882
6,9.662361147021779e-05,9.662361147021779e-05,0.07740953662081788,0.058629327709064066,365.69279231626524,149.59326786961716,294.3799492488713,0.07111232853814761,0.07111232853814761,415.60806060901456,173.53196285372044,335.7229483497675,3317.2399423122406
