epoch,lr_backbone,lr_head,train_loss,train_loss_pose,train_mpjpe_body,train_pelvis_err,train_mpjpe_weighted,val_loss,val_loss_pose,val_mpjpe_body,val_pelvis_err,val_mpjpe_weighted,epoch_time
1,3.3333333333333335e-05,3.3333333333333335e-05,0.3591059621675925,0.2834208057680184,456.83442683156494,477.05026801739257,463.5056544228872,0.08927633067361553,0.08927633067361553,222.9910042536129,292.2777015446754,245.8556143596636,3175.4222540855408
2,6.666666666666667e-05,6.666666666666667e-05,0.23455208552230983,0.18031700695802924,305.0562374025602,354.12061749024053,321.24748283149506,0.09905721078232488,0.09905721078232488,247.0551432942021,294.91018128711437,262.84730583186337,3170.5643978118896
3,0.0001,0.0001,0.18394939029062,0.14150062782372608,242.8077105376598,290.45553100373337,258.5314912914637,0.08463861603644846,0.08463861603644846,214.00631700982805,238.0797168515416,221.95053895759358,3176.94295835495
4,0.0001,0.0001,0.151966082881794,0.1182772094234022,207.09576522314978,237.8002913307736,217.2282588386653,0.07591430817486941,0.07591430817486941,193.22227752280608,227.39939394906003,204.50072594346997,3176.882371902466
5,9.91486549841951e-05,9.91486549841951e-05,0.12618443569931673,0.10001593501442138,179.98694212456306,197.40323385488693,185.73431839557006,0.05896898573747554,0.05896898573747554,160.6326009982745,190.57465469995367,170.51347871982878,3181.1514518260956
6,9.662361147021779e-05,9.662361147021779e-05,0.11860269965619283,0.09558050040016453,179.41577075477488,180.48538400796187,179.76874312832675,0.05152461861133288,0.05152461861133288,144.07452268335874,184.16343151502068,157.30386259780693,3415.207312822342
7,9.251085678648072e-05,9.251085678648072e-05,0.08662337216916079,0.0705611786018866,136.63149678457984,136.41975841558454,136.56162312281157,0.04848030146067587,0.04848030146067587,137.27097056886976,187.67013289816273,153.90269413753637,3411.8288700580597
8,8.695044586103296e-05,8.695044586103296e-05,0.07570145476404212,0.06308911121353045,125.45683600707775,113.87982679274053,121.63642296634654,0.045666858933605385,0.045666858933605385,129.40564456290878,163.96858551476345,140.81141507702065,3416.9656026363373
9,8.013173181896283e-05,8.013173181896283e-05,0.06762724337914158,0.05746067424338403,116.64204055950414,94.13173719264798,109.21364044844145,0.044119658619300235,0.044119658619300235,126.89720968745729,136.90563384126264,130.19998965821318,3422.954554796219
10,7.228691778882693e-05,7.228691778882693e-05,0.060471704354753894,0.052464421412673386,108.83298088252506,79.97227034348336,99.3089464046412,0.04138417031944014,0.04138417031944014,120.22647345972004,134.18852892600728,124.83395176359484,3421.801786184311
11,6.368314950360415e-05,6.368314950360415e-05,0.0563383194806079,0.049114499406262696,103.49892948819837,75.49290163597024,94.25694029696312,0.04044174135239083,0.04044174135239083,117.94327078567339,124.0385496809054,119.95471282109999,3417.422568321228
12,5.4613417973165106e-05,5.4613417973165106e-05,0.05231626818759899,0.04618700796607327,98.66918843844935,67.97923514599887,88.54150385194065,0.03963102114390227,0.03963102114390227,115.78629639813063,120.6341820764024,117.3860986719603,3413.7172417640686
13,4.5386582026834906e-05,4.5386582026834906e-05,0.04836542339449332,0.04338429850762671,94.05367409269442,59.124230471194885,82.5269576975996,0.039133787059098195,0.039133787059098195,114.83578707944642,108.10937433967544,112.61607087532191,3412.709553003311
14,3.631685049639586e-05,3.631685049639586e-05,0.045559309267257875,0.041256892139197074,90.48119684259223,53.87809347185325,78.40217273024844,0.03747140112657671,0.03747140112657671,110.68382324844563,109.5525335212956,110.31049763848608,3414.191553592682
15,2.771308221117309e-05,2.771308221117309e-05,0.042986317710541636,0.03914204581939699,86.7840905216693,50.499408666358256,74.81014550941678,0.03701883228102517,0.03701883228102517,109.4493083746787,101.21936038032229,106.73342553654115,3418.0706615448
