epoch,lr_backbone,lr_head,train_loss,train_loss_pose,train_mpjpe_body,train_pelvis_err,train_mpjpe_weighted,val_loss,val_loss_pose,val_mpjpe_body,val_pelvis_err,val_mpjpe_weighted,epoch_time
1,3.3333333333333335e-05,3.3333333333333335e-05,0.496505030655574,0.4016851188639737,547.6637036913629,594.811790297196,563.222572271287,0.13970145302744913,0.13970145302744913,329.29222383027485,354.21575674188153,337.5169896911047,3163.6975569725037
2,6.666666666666667e-05,6.666666666666667e-05,0.3254776118373931,0.25842389897540674,370.956247533855,430.6506122253302,390.655387882041,0.1149022987222499,0.1149022987222499,271.33292612552066,249.81748459451305,264.2328304202884,3171.7304487228394
3,0.0001,0.0001,0.2815152982732327,0.21790916636406885,314.23654764282924,428.74487362668964,352.02429521750327,0.07999501951191623,0.07999501951191623,207.11762255955088,463.7619221299635,291.8102414177869,3169.1465163230896
4,0.0001,0.0001,0.22700641767143676,0.1735158374673434,252.07930478753735,374.85777721924444,292.59620069000067,0.09161243848817197,0.09161243848817197,228.0579717840878,315.96992713550895,257.0689170500571,3170.051281452179
5,9.91486549841951e-05,9.91486549841951e-05,0.20152740463605026,0.15332592457079902,223.39733438328747,346.91705969725325,264.1588437368961,0.0702029158607287,0.0702029158607287,184.6256935570582,320.7698521677346,229.5532658985813,3175.656159877777
