epoch,lr_backbone,lr_head,train_loss,train_loss_pose,train_mpjpe_body,train_pelvis_err,train_mpjpe_weighted,val_loss,val_loss_pose,val_mpjpe_body,val_pelvis_err,val_mpjpe_weighted,epoch_time
1,3.3333333333333335e-05,3.3333333333333335e-05,0.1717615738567708,0.12035903294981848,289.12747666864476,369.4503957592588,315.6340399685476,0.07281819554394059,0.07281819554394059,190.43428115936757,293.23940996324194,224.35997366464622,3123.0799038410187
2,6.666666666666667e-05,6.666666666666667e-05,0.11690854753041434,0.08040732852147303,205.95448350574188,261.08098843884363,224.14623013366503,0.06806226206361457,0.06806226206361457,177.84038107472824,223.94306779224132,193.05426769150773,3131.1987931728363
3,0.0001,0.0001,0.09513146005113189,0.06866984462402077,181.21977996826172,201.40684641426768,187.8815118954435,0.05984040356687168,0.05984040356687168,160.73461522929486,228.52462355564242,183.10531797698965,3115.6833834648132
4,0.0001,0.0001,0.07589725988425734,0.05642361575389603,155.00394629586566,159.58428898787784,156.51545938422967,0.053407374312213665,0.053407374312213665,145.79551688954683,205.4454885420667,165.48000753487835,3113.35076880455
