epoch,lr_backbone,lr_head,train_loss,train_loss_pose,train_mpjpe_body,train_pelvis_err,train_mpjpe_weighted,val_loss,val_loss_pose,val_mpjpe_body,val_pelvis_err,val_mpjpe_weighted,epoch_time
1,3.3333333333333335e-05,3.3333333333333335e-05,0.35231347064982493,0.2955009787425427,408.6641149732265,388.99652068685924,402.17380885872524,0.2304488928905442,0.2304488928905442,376.890436059747,279.41832602009697,344.7246397466624,3128.1403946876526
2,6.666666666666667e-05,6.666666666666667e-05,0.2897271246491844,0.2457094046324397,368.0936273788636,308.9238125763036,348.5675884940189,0.24261708107335433,0.24261708107335433,368.0812531990079,348.51750861376127,361.6252174858765,3126.71657204628
3,0.0001,0.0001,0.2534857222160408,0.21110191879448367,332.3942829637002,293.063301081594,319.4150589426054,0.2210443505817357,0.2210443505817357,356.0953878441823,233.01272697586776,315.47810975763826,3148.002949476242
4,0.0001,0.0001,0.2095056188925676,0.1761826565648424,285.2894192116407,236.66572872062812,269.2436013496065,0.16335112485580766,0.16335112485580766,272.14763224455646,224.64317165784294,256.4711602509411,3166.7497265338898
