epoch,lr_backbone,lr_head,train_loss,train_loss_pose,train_mpjpe_body,train_pelvis_err,train_mpjpe_weighted,val_loss,val_loss_pose,val_mpjpe_body,val_pelvis_err,val_mpjpe_weighted,epoch_time
1,3.3333333333333335e-05,3.3333333333333335e-05,0.19207849673469132,0.13597808062011038,321.502144231911,382.88910869769916,341.75984250562146,0.07999735717426883,0.07999735717426883,204.46130304831217,311.4409114989498,239.7645738370226,3230.5716423988342
2,6.666666666666667e-05,6.666666666666667e-05,0.12788103746416601,0.08630275518466507,218.28877403254447,292.87387625638104,242.9018577664105,0.06627123296458558,0.06627123296458558,175.8197058388925,279.20133302180125,209.9356428092524,3164.2120797634125
3,0.0001,0.0001,0.10525776341585814,0.07336535818398263,191.19972757601602,228.04077004933373,203.3572715922108,0.06397164204529744,0.06397164204529744,170.6410666581949,206.14266381534074,182.356593720053,3163.6043796539307
4,0.0001,0.0001,0.08400864769870378,0.06071507359575893,164.36497424115404,178.84631743379754,169.14381749472614,0.055680164831395026,0.055680164831395026,150.84596644494732,220.22969401443535,173.7425965428785,3161.252603530884
5,9.91486549841951e-05,9.91486549841951e-05,0.06926275118996705,0.050864651723705266,143.12103126047532,153.26675185529095,146.46911905676436,0.052992124690149606,0.052992124690149606,144.91041261238126,219.98010940919883,169.68341255533096,3184.6472220420837
6,9.662361147021779e-05,9.662361147021779e-05,0.06394951155927077,0.04730547775477265,135.1481152873314,143.4741757267861,137.89571523235145,0.04864103682181911,0.04864103682181911,137.29724880812108,174.5534708163419,149.59180207083404,3409.3640575408936
7,9.251085678648072e-05,9.251085678648072e-05,0.05186564178855416,0.040742126335357474,120.7843682142358,104.60208603398115,115.44421509475181,0.045016978942621744,0.045016978942621744,128.4672638648094,143.62358528339675,133.46884993294307,3429.023379087448
8,8.695044586103296e-05,8.695044586103296e-05,0.04605096561375338,0.03718863231701478,112.61718411291605,87.77763962700368,104.42013443256496,0.04320181044160115,0.04320181044160115,124.29552195586975,137.0811703156217,128.51478591458772,3436.724183320999
9,8.013173181896283e-05,8.013173181896283e-05,0.041238226780952195,0.03416967907999515,105.76482859557757,75.78533922017867,95.87159710169607,0.042221431551889864,0.042221431551889864,122.22414411537898,128.43297001938768,124.27305666370181,3453.0614953041077
10,7.228691778882693e-05,7.228691778882693e-05,0.03802894243877322,0.03185810197906792,100.38211903683818,69.20173023168311,90.09259073113704,0.040283436382546646,0.040283436382546646,117.5976818070912,115.06729433591173,116.76265394160195,3459.096004009247
