epoch,lr_backbone,lr_head,train_loss,train_loss_pose,train_loss_depth,train_loss_uv,train_mpjpe_body,val_loss,val_loss_pose,val_loss_depth,val_loss_uv,val_mpjpe_all,val_mpjpe_body,val_mpjpe_hand,epoch_time
1,3.3333333333333333e-06,3.3333333333333335e-05,5.671016693115234,0.5716092387835184,4.315451463063558,0.7839560707410177,1154.5989990234375,,,,,,,,2.8356919288635254
2,6.666666666666667e-06,6.666666666666667e-05,5.1014149983723955,0.5589569409688314,3.859966993331909,0.682490885257721,1117.3156331380208,,,,,,,,2.6532082557678223
3,1e-05,0.0001,4.286434888839722,0.5092172225316366,3.270330866177877,0.5068869491418203,1019.0880533854166,,,,,,,,2.692436456680298
4,1e-05,0.0001,2.880764961242676,0.449582705895106,1.982532262802124,0.4486500024795532,879.4532063802084,,,,,,,,2.704017162322998
5,9.988834393115768e-06,9.988834393115767e-05,3.4164328575134277,0.3931360642115275,2.67901873588562,0.3442780872186025,770.0253295898438,1.7691482504208882,0.4144895374774933,0.5894382695357004,0.7652204434076945,875.9211832682291,837.99609375,1015.8753051757812,15.822761297225952
6,9.955387440773902e-06,9.9553874407739e-05,3.084327538808187,0.39197633663813275,2.3233428796132407,0.3690083622932434,784.8884073893229,,,,,,,,2.6843841075897217
7,9.899808525182935e-06,9.899808525182935e-05,2.194157600402832,0.3493778904279073,1.4935811758041382,0.3511984546979268,699.1299235026041,,,,,,,,2.6733858585357666
8,9.822345875271884e-06,9.822345875271883e-05,2.5145559310913086,0.3298685848712921,1.8256093660990398,0.3590780397256215,665.5494588216146,,,,,,,,2.775320053100586
9,9.723345458039595e-06,9.723345458039594e-05,2.9439140955607095,0.3321462571620941,2.310608744621277,0.3011590639750163,657.310302734375,,,,,,,,2.673649549484253
10,9.603249433382145e-06,9.603249433382144e-05,2.584507942199707,0.3189842502276103,1.9065360228220622,0.3589876890182495,635.4564005533854,1.3587045272191365,0.3327689468860626,0.428706814845403,0.5972287654876709,707.5265299479166,639.1913655598959,889.7306111653646,15.556527614593506
11,9.462594179299408e-06,9.462594179299406e-05,2.127148230870565,0.3120971620082855,1.5486284494400024,0.2664225498835246,629.2188924153646,,,,,,,,2.742088794708252
12,9.302007896300697e-06,9.302007896300698e-05,2.5348711808522544,0.31145503123601276,1.8921289443969727,0.3312872151533763,611.3734334309896,,,,,,,,2.651298761367798
13,9.122207801708802e-06,9.122207801708802e-05,2.8408257563908896,0.3125159839789073,2.1655447085698447,0.36276503403981525,627.5703531901041,,,,,,,,2.700831651687622
14,8.923996926393306e-06,8.923996926393305e-05,2.9116442998250327,0.3119977613290151,2.255101442337036,0.34454508622487384,614.7090861002604,,,,,,,,2.666398763656616
15,8.708260528239788e-06,8.708260528239788e-05,2.918513059616089,0.3133719265460968,2.319347540537516,0.2857934733231862,620.0301310221354,1.1988911777734756,0.2721119572718938,0.6919311086336771,0.23484811186790466,588.8415934244791,495.4547932942708,771.6640421549479,15.384174585342407
16,8.475962138373212e-06,8.475962138373213e-05,2.3116719722747803,0.29211504260698956,1.7035057544708252,0.3160511255264282,582.4001057942709,,,,,,,,2.7740228176116943
17,8.228139257794012e-06,8.228139257794012e-05,2.724821408589681,0.288173645734787,2.1523154179255166,0.2843322952588399,573.6969197591146,,,,,,,,2.6956729888916016
18,7.965898723646777e-06,7.965898723646776e-05,2.8113459746042886,0.3024727404117584,2.2152467568715415,0.29362640778223675,593.1744588216146,,,,,,,,2.6614491939544678
19,7.690411765816864e-06,7.690411765816864e-05,1.8603623708089192,0.29331083099047345,1.2750982443491619,0.2919532358646393,594.4137980143229,,,,,,,,2.6902167797088623
20,7.402908775933419e-06,7.402908775933419e-05,2.331150492032369,0.2888092299302419,1.7457080284754436,0.29663331309954327,564.2756754557291,0.7786527872085571,0.2528158773978551,0.3048488696416219,0.2209880401690801,552.3424886067709,444.1361490885417,716.1291707356771,15.465380668640137
21,7.104673812141676e-06,7.104673812141675e-05,2.3404036362965903,0.30045755704243976,1.7652572393417358,0.27468882004419964,593.9500732421875,,,,,,,,2.7666873931884766
22,6.797038864187564e-06,6.797038864187564e-05,1.777039925257365,0.2916141748428345,1.140623688697815,0.34480199217796326,566.2830200195312,,,,,,,,2.6888961791992188
23,6.481377904428171e-06,6.481377904428171e-05,2.1331518093744912,0.2859543363253276,1.58905827999115,0.2581392576297124,576.9101359049479,,,,,,,,2.6601219177246094
24,6.1591007513376425e-06,6.159100751337642e-05,2.51312788327535,0.2979844609896342,1.9491803646087646,0.26596298813819885,585.0411376953125,,,,,,,,2.6856024265289307
25,5.831646772915651e-06,5.831646772915651e-05,2.624155640602112,0.28804970781008404,2.0793129603068032,0.25679299732049304,566.2334798177084,0.7214789589246114,0.2407939334710439,0.28513288497924805,0.19555214047431946,521.3723653157552,395.31724039713544,705.6567789713541,15.371150016784668
26,5.500478458120493e-06,5.5004784581204927e-05,1.99704909324646,0.2869529326756795,1.4210490385691326,0.28904712200164795,563.3783365885416,,,,,,,,2.7864813804626465
27,5.1670748850383734e-06,5.167074885038373e-05,2.3562976121902466,0.28307438890139264,1.8350160519282024,0.23820717136065164,567.8219807942709,,,,,,,,2.6841139793395996
28,4.832925114961629e-06,4.832925114961629e-05,2.0386142333348594,0.2811943093935649,1.5311459302902222,0.22627395391464233,543.4557088216146,,,,,,,,2.6592535972595215
29,4.499521541879508e-06,4.4995215418795085e-05,2.0058048168818154,0.2773822247982025,1.4954959551493328,0.23292659719785055,559.1667887369791,,,,,,,,2.7419066429138184
30,4.1683532270843505e-06,4.1683532270843504e-05,2.2914424339930215,0.28804625074068707,1.7346303065617878,0.2687659015258153,571.281494140625,0.5732541804512342,0.2342375467220942,0.17021725823481879,0.1687993754943212,505.93810017903644,391.6950988769531,704.2622680664062,15.423971176147461
31,3.840899248662358e-06,3.840899248662358e-05,2.024311661720276,0.2760686973730723,1.5126054485638936,0.23563748598098755,542.1316324869791,,,,,,,,2.7630066871643066
32,3.518622095571831e-06,3.5186220955718306e-05,2.0172014633814492,0.26694753766059875,1.46567702293396,0.2845768829186757,543.9464925130209,,,,,,,,2.7181341648101807
33,3.202961135812437e-06,3.202961135812437e-05,2.4606446425120034,0.2743752797444661,1.9588451782862346,0.2274241199096044,546.2537434895834,,,,,,,,2.697399139404297
34,2.8953261878583263e-06,2.895326187858326e-05,2.2373201847076416,0.29480480154355365,1.6806686321894329,0.26184674104054767,576.3594563802084,,,,,,,,2.693697929382324
35,2.5970912240665815e-06,2.5970912240665813e-05,2.3904972076416016,0.2919812599817912,1.7960715691248577,0.30244446794192,581.1606241861979,0.6927929272254308,0.2288368692000707,0.2634919087092082,0.20046414931615195,495.97572835286456,388.16173299153644,694.9432169596354,15.544449090957642
36,2.309588234183137e-06,2.3095882341831372e-05,1.7308636903762817,0.2851390242576599,1.1457690993944805,0.2999555766582489,561.4549357096354,,,,,,,,2.9793307781219482
37,2.0341012763532243e-06,2.0341012763532243e-05,1.8347617785135906,0.2865145305792491,1.2695970733960469,0.27865012486775714,574.2101440429688,,,,,,,,2.6938045024871826
38,1.771860742205988e-06,1.771860742205988e-05,1.983242114384969,0.28662703434626263,1.4181147813796997,0.2785002291202545,582.510498046875,,,,,,,,2.6831235885620117
39,1.5240378616267887e-06,1.5240378616267886e-05,1.9127131700515747,0.2735823591550191,1.4098241925239563,0.22930668791135153,550.8813273111979,,,,,,,,2.6894054412841797
40,1.2917394717602123e-06,1.2917394717602121e-05,1.9808997710545857,0.2758291761080424,1.4377734263737996,0.2672971487045288,543.8555908203125,0.810781255364418,0.2264310916264852,0.35543371240297955,0.2289164513349533,490.13336181640625,381.6179911295573,694.8484903971354,15.521613836288452
41,1.0760030736066952e-06,1.0760030736066951e-05,2.000167965888977,0.2693779170513153,1.482326825459798,0.24846331775188446,541.3344116210938,,,,,,,,2.7386863231658936
42,8.777921982911996e-07,8.777921982911996e-06,1.4864482084910076,0.2764508128166199,0.9719991286595663,0.23799829681714377,548.0300699869791,,,,,,,,2.6969382762908936
43,6.979921036993042e-07,6.979921036993042e-06,1.9822124640146892,0.27995842695236206,1.4850085576375325,0.21724544962247214,558.6814168294271,,,,,,,,2.684532403945923
44,5.374058207005945e-07,5.374058207005944e-06,2.7693222761154175,0.2693757514158885,2.285182555516561,0.21476398905118307,532.9953409830729,,,,,,,,2.6768789291381836
45,3.9675056661785563e-07,3.967505666178556e-06,1.4115156730016072,0.2740377187728882,0.9094041983286539,0.228073850274086,553.5313313802084,0.7420209099849066,0.22439260284105936,0.26714785893758136,0.25048044820626575,486.5345153808594,377.5332336425781,697.1334431966146,15.490623712539673
46,2.7665454196040665e-07,2.7665454196040664e-06,1.7846347093582153,0.26799245675404865,1.23746657371521,0.27917569875717163,541.2033284505209,,,,,,,,2.9114904403686523
47,1.776541247281177e-07,1.7765412472811771e-06,1.8165103991826375,0.26829727490743,1.2967205047607422,0.251492698987325,539.4668986002604,,,,,,,,2.681711196899414
48,1.0019147481706626e-07,1.0019147481706625e-06,2.3357174396514893,0.27328726649284363,1.7898505131403606,0.2725796699523926,563.5682169596354,,,,,,,,2.7256739139556885
49,4.461255922609986e-08,4.461255922609986e-07,1.9688303073247273,0.2724483211835225,1.4289334416389465,0.26744850476582843,540.025390625,,,,,,,,2.6755120754241943
50,1.1165606884234182e-08,1.1165606884234181e-07,2.170029401779175,0.2817225555578868,1.5769617557525635,0.31134504576524097,573.4847412109375,0.7288089593251547,0.2239189694325129,0.25197410583496094,0.2529158840576808,485.6787516276042,376.54869588216144,696.4358520507812,15.528053522109985
