epoch,lr_backbone,lr_head,train_loss,train_loss_pose,train_mpjpe_body,train_pelvis_err,train_mpjpe_weighted,val_loss,val_loss_pose,val_mpjpe_body,val_pelvis_err,val_mpjpe_weighted,epoch_time
1,3.3333333333333335e-05,3.3333333333333335e-05,0.19242868362498328,0.13595367759522795,321.3346675222927,384.0491426841151,342.03044432569357,0.07795447712388918,0.07795447712388918,202.21778577889694,273.5492114997744,225.7571562667865,3130.515634059906
2,6.666666666666667e-05,6.666666666666667e-05,0.12974003121077524,0.0875555947187054,220.76498141539406,295.8764866786036,245.55177815225343,0.06730433884194734,0.06730433884194734,177.40790946233403,242.66869997086658,198.94397033014985,3074.6340012550354
3,0.0001,0.0001,0.10644604238322296,0.07359435093636903,191.70815169350718,236.49882482682096,206.48907382750082,0.06394316870112543,0.06394316870112543,170.0528436161497,215.45379436663177,185.03515736380868,3077.9029245376587
4,0.0001,0.0001,0.08402193421668988,0.06081381982323337,164.44364567298237,179.41584557260873,169.38447163985896,0.05474040212853395,0.05474040212853395,150.24601741924218,203.40658269774065,167.78900396114648,3100.685294151306
5,9.91486549841951e-05,9.91486549841951e-05,0.06878623776633276,0.05107302120529903,143.56773005383462,149.04360939446244,145.37477023624197,0.053567306580082644,0.053567306580082644,147.01252543192865,186.08920592019297,159.90782999305586,3103.0868735313416
6,9.662361147021779e-05,9.662361147021779e-05,0.06504944540758424,0.04885876901858286,138.53072892539936,137.62644954630662,138.2323167302987,0.04723197882893901,0.04723197882893901,133.34838739724154,209.70340443002587,158.54554301806027,3361.132077932358
